addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
800205,0.3393665158,0.1131221719,2.5169683258,0,0.056561086,5.3733031674,0.6221719457,0.028280543,9.0497737557,0.2135991456,0.0711997152,1.5841936632,0,0.0355998576,3.3819864721,0.3915984336,0.0177999288,5.6959772161,12,4,89,0,2,190,22,1,320,0.0461716045,0.0153905348,0,0.3424393998,0.0076952674,0.731050404,0.0846479415,0.0038476337,1.2312427857,5618,46,81.8796724813,259.9,35.36,259.9,21.6160061562,62.9980653667,18.8816071146,0.1303278709
800301,0.2777777778,0,1.0185185185,0,0,0.8333333333,0.0925925926,0,2.2222222222,0.0393700787,0,0.1443569554,0,0,0.1181102362,0.0131233596,0,0.3149606299,3,0,11,0,0,9,1,0,24,0.0038546539,0,0,0.0141337308,0,0.0115639616,0.0012848846,0,0.0308372308,7620,59,77.4278215223,778.28,10.8,778.28,9.7908207843,40.6381700387,36.7896514836,0.3116024437
800302,2.8087567121,0,3.5935563817,0,0.2065262288,3.3457249071,0.2065262288,0,10.1610904585,1.155480034,0,1.4783347494,0,0.0849617672,1.3763806287,0.0849617672,0,4.1801189465,68,0,87,0,5,81,5,0,246,0.0953115145,0,0,0.1219426729,0.0070081996,0.1135328334,0.0070081996,0,0.34480342,5885,52,88.3602378929,713.45,24.21,713.45,8.2486509216,48.0249245017,40.3353133913,0.2957456125
800303,2.6510212951,0.0434593655,10.1694915254,0.0434593655,0.173837462,5.4324206867,0.8257279444,0,19.3394176445,0.7649862052,0.0125407575,2.934537246,0.0125407575,0.0501630298,1.5675946827,0.2382743918,0,5.5806370705,61,1,234,1,4,125,19,0,445,0.1909771141,0.0031307724,0.0031307724,0.7326007326,0.0125230894,0.3913465452,0.0594846749,0,1.3931937009,7974,47,58.9415600702,319.41,23.01,319.41,24.9647788109,50.2673044302,8.67425564,0.0794281277
800304,1.3066557779,0.0816659861,6.0024499796,0.0408329931,0.2449979584,4.8182931809,0.4491629236,0.0408329931,12.9848917926,0.3506849315,0.0219178082,1.6109589041,0.0109589041,0.0657534247,1.2931506849,0.1205479452,0.0109589041,3.4849315068,32,2,147,1,6,118,11,1,318,0.0368718817,0.0023044926,0.0011522463,0.1693802067,0.0069134778,0.1359650639,0.0126747093,0.0011522463,0.3664143247,9125,58,63.5616438356,867.87,24.49,867.87,10.5142475256,49.3056149481,14.2560288875,0.1263079217
800305,0.7313951362,0.0365697568,3.8946791004,0.0365697568,0.2925580545,2.4501737063,0.7131102578,0,8.1550557689,0.3885003885,0.0194250194,2.0687645688,0.0194250194,0.1554001554,1.3014763015,0.3787878788,0,4.3317793318,40,2,213,2,16,134,39,0,446,0.0856732849,0.0042836642,0.0042836642,0.4562102422,0.034269314,0.2870055045,0.0835314528,0,0.9552571269,10296,66,64.1025641026,466.89,54.69,466.89,22.0523035404,42.019927232,22.0826368706,0.2080863028
800401,3.1023784902,0.1034126163,8.841778697,0.1034126163,0.2068252327,6.1530506722,0.9307135471,0,19.4415718718,0.748876685,0.0249625562,2.1342985522,0.0249625562,0.0499251123,1.4852720919,0.2246630055,0,4.6929605592,60,2,171,2,4,119,18,0,376,0.2407414838,0.0080247161,0.0080247161,0.6861132287,0.0160494323,0.4774706095,0.0722224451,0,1.5086466316,8012,58,72.3914128807,249.23,19.34,249.23,32.1470127994,48.5391412054,23.8522716753,0.1972394144
800403,0.2046035806,0.0255754476,3.3503836317,0.0511508951,0.2046035806,3.5549872123,0.4347826087,0,7.8260869565,0.0694745983,0.0086843248,1.137646548,0.0173686496,0.0694745983,1.2071211463,0.1476335215,0,2.6574033869,8,1,131,2,8,139,17,0,306,0.0083502077,0.001043776,0.0020875519,0.1367346513,0.0083502077,0.145084859,0.0177441914,0,0.319395445,11515,62,53.8428137212,958.06,39.1,958.06,12.0190802246,45.3350109283,8.5078027929,0.0857833172
800404,0.9972489684,0.0687757909,8.356258597,0.2751031637,0.2751031637,5.0206327373,1.2379642366,0,16.2310866575,0.3933803581,0.0271296799,3.2962561042,0.1085187195,0.1085187195,1.9804666305,0.4883342377,0,6.4026044493,29,2,243,8,8,146,36,0,472,0.088025497,0.0060707239,0.0242828957,0.737592958,0.0242828957,0.4431628472,0.1092730308,0,1.4326908484,7372,35,47.4769397721,329.45,29.08,329.45,22.3766884201,50.1510024714,2.6740626993,0.0273903417
800405,2.6458861906,0.0724900326,4.2769119246,0.1087350489,0.3624501631,4.1319318594,0.5074302283,0,12.1058354476,0.9333844777,0.0255721775,1.5087584708,0.0383582662,0.1278608874,1.4576141158,0.1790052423,0,4.2705536376,73,2,118,3,10,114,14,0,334,0.2635379061,0.0072202166,0.0108303249,0.4259927798,0.036101083,0.4115523466,0.0505415162,0,1.2057761733,7821,26,33.2438307122,277,27.59,277,28.2346570397,45.1132090763,11.8693783641,0.1514781364
