addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
810404,1.1132623427,0.0363020329,7.7807357212,0.2057115198,0.1089060987,3.242981607,0.9317521781,0.0242013553,13.4438528558,0.8540660973,0.0278499814,5.9691793539,0.1578165615,0.0835499443,2.4879316747,0.7148161901,0.0185666543,10.3137764575,92,3,643,17,9,268,77,2,1111,0.054683135,0.0017831457,0.0101044923,0.3821875632,0.0053494371,0.1592943498,0.0457674065,0.0011887638,0.6603582934,10772,51,47.3449684367,1682.42,82.64,1682.42,6.4026818511,30.4085226861,16.9364457505,0.217822319
810405,0.1828362473,0.0457090618,3.3253342475,0.0457090618,0.2742543709,2.3882984802,1.3484173237,0.0114272655,7.6219860587,0.1656657693,0.0414164423,3.0130461793,0.0414164423,0.248498654,2.1640091116,1.2217850487,0.0103541106,6.9061917581,16,4,291,4,24,209,118,1,667,0.0138242079,0.003456052,0.003456052,0.2514277815,0.0207363119,0.1805787159,0.1019535334,0.000864013,0.5762966675,9658,89,92.1515841789,1157.39,87.51,1157.39,8.3446375033,93.9644389467,1.8128547678,0.0097404551
810406,0.6350886478,0.0396930405,5.4511775602,0.0396930405,0.2249272294,1.7729558084,0.7277057423,0.026462027,8.9177030961,0.4514672686,0.0282167043,3.8750940557,0.0282167043,0.1598946576,1.2603461249,0.5173062453,0.0188111362,6.3393528969,48,3,412,3,17,134,55,2,674,0.0304367676,0.001902298,0.001902298,0.261248922,0.0107796885,0.0849693096,0.0348754629,0.0012681987,0.4273829453,10632,44,41.3844996238,1577.04,75.58,1577.04,6.7417440268,92.1106610116,50.7261613879,0.3799850208
810407,0.4553368153,0.0401767778,4.7006830052,0.0267845185,0.1071380742,1.7276014464,0.830320075,0,7.8880407125,0.540025413,0.0476493011,5.5749682338,0.0317662008,0.127064803,2.0489199492,0.9847522236,0,9.3551461245,34,3,351,2,8,129,62,0,589,0.0252470873,0.0022276842,0.0014851228,0.2606390483,0.0059404911,0.0957904195,0.0460388063,0,0.4373686595,6296,37,58.7674714104,1346.69,74.67,1346.69,4.6751665194,69.3906293627,10.6231579523,0.0828910376
810501,1.9876891511,0.0769428058,7.3736855604,0.1282380097,0.4231854322,5.6296486279,1.3849705053,0.0256476019,17.0300076943,1.4738043168,0.0570504897,5.4673385947,0.0950841495,0.3137776933,4.1741941618,1.0269088143,0.0190168299,12.6271750499,155,6,575,10,33,439,108,2,1328,0.1945354368,0.007530404,0.0125506733,0.7216637173,0.041417222,0.5509745598,0.1355472721,0.0025101347,1.66672942,10517,23,21.8693543786,796.77,77.98,796.77,13.1995431555,23.0385923192,1.1692379406,0.026036326
810503,0.4226096144,0.0132065504,4.0544109878,0.1320655045,0.118858954,1.3734812467,0.5018489171,0.0132065504,6.6296883254,0.6467259499,0.0202101859,6.2045270816,0.2021018593,0.1818916734,2.1018593371,0.7679870655,0.0202101859,10.1455133387,32,1,307,10,9,104,38,1,502,0.0459968377,0.0014374012,0.0143740118,0.4412821619,0.0129366106,0.1494897226,0.0546212448,0.0014374012,0.7215753917,4948,20,40.4203718674,695.7,75.72,695.7,7.1122610321,26.545975331,13.8743965364,0.2071846101
810504,1.0198604402,0.040257649,5.2871712292,0.0536768653,0.3488996243,2.5496511004,1.4090177134,0.0134192163,10.7219538379,1.0911701364,0.0430725054,5.6568557071,0.0574300072,0.3732950467,2.727925341,1.5075376884,0.0143575018,11.471643934,76,3,394,4,26,190,105,1,799,0.0783925403,0.0030944424,0.0041259232,0.4064034328,0.0268185006,0.1959813508,0.1083054834,0.0010314808,0.8241531543,6965,44,63.1730078966,969.48,74.52,969.48,7.184263729,69.3900828324,6.2170749358,0.046898989
810505,2.119205298,0.0993377483,12.119205298,0.1655629139,0.8609271523,4.9006622517,1.1589403974,0.0331125828,21.4569536424,0.9899458623,0.0464037123,5.6612529002,0.0773395205,0.4021655066,2.2892498067,0.5413766435,0.0154679041,10.0232018561,64,3,366,5,26,148,35,1,648,0.0635406015,0.0029784657,0.0049641095,0.3633728146,0.0258133693,0.1469376409,0.0347487664,0.0009928219,0.6433485897,6465,62,95.9010054138,1007.23,30.2,1007.23,6.4185935685,43.2749182007,52.626087213,0.3781263731
810506,1.4835824152,0.0109086942,4.0034907822,0.1309043308,0.3927129923,2.5744518381,1.1235955056,0.0218173885,9.7414639468,1.8240343348,0.0134120172,4.9222103004,0.160944206,0.482832618,3.1652360515,1.3814377682,0.0268240343,11.9769313305,136,1,367,12,36,236,103,2,893,0.2076209086,0.0015266243,0.0183194919,0.5602711285,0.0549584758,0.3602833415,0.1572423058,0.0030532487,1.3632755252,7456,26,34.8712446352,655.04,91.67,655.04,11.3825109917,26.7231105692,8.148134066,0.132287026
810507,1.1438375751,0.0285959394,3.6173863311,0.0428939091,0.228767515,2.0875035745,0.7863883329,0,7.935373177,1.8390804598,0.0459770115,5.816091954,0.0689655172,0.367816092,3.3563218391,1.2643678161,0,12.7586206897,80,2,253,3,16,146,55,0,555,0.1228878648,0.0030721966,0.0046082949,0.3886328725,0.024577573,0.2242703533,0.0844854071,0,0.8525345622,4350,16,36.7816091954,651,69.94,651,6.6820276498,22.927154617,13.8544545784,0.2320338539
810508,1.1059907834,0.0230414747,4.930875576,0.0460829493,0.4147465438,3.2949308756,0.8294930876,0,10.6451612903,1.2266802964,0.0255558395,5.468949655,0.051111679,0.4600051112,3.6544850498,0.9200102223,0,11.8067978533,48,1,214,2,18,143,36,0,462,0.0614840718,0.0012809182,0.0025618363,0.2741164867,0.0230565269,0.1831712972,0.0461130538,0,0.5917841909,3913,12,30.6670074112,780.69,43.4,780.69,5.0122327684,-2.6722322293,33.3392396405,1
810509,0.3295496155,0.0366166239,4.0827535701,0.018308312,0.1830831197,1.5562065178,1.1168070304,0,7.3233247895,0.3561535417,0.0395726157,4.4123466561,0.0197863079,0.1978630787,1.6818361694,1.2069647804,0,7.91452315,18,2,223,1,10,85,61,0,400,0.043517153,0.0048352392,0.0024176196,0.5391291734,0.0241761961,0.205497667,0.1474747963,0,0.9670478447,5054,27,53.4230312624,413.63,54.62,413.63,12.2186495177,89.4643401646,36.0413089022,0.2522357892
810601,0.6344861906,0.0311022642,3.7633739736,0.0497636228,0.2736999254,2.3513311769,0.454093058,0.0248818114,7.5827320229,0.5473864978,0.0268326715,3.2467532468,0.0429322743,0.2361275089,2.0285499624,0.3917570033,0.0214661372,6.5418053021,102,5,605,8,44,378,73,4,1219,0.047199715,0.0023137115,0.0037019384,0.2799590936,0.0203606614,0.1749165907,0.0337801882,0.0018509692,0.5640828679,18634,31,16.6362563057,2161.03,160.76,2161.03,8.6227400823,68.4915644657,51.85530816,0.6091464305
