addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
100305,3.8272816487,0.3336604514,16.4278704612,0.2158979392,0.9813542689,21.1776251227,4.2198233562,0.0392541708,47.222767419,0.5828725153,0.050814527,2.5018681811,0.032879988,0.1494544911,3.2252279181,0.6426543118,0.0059781796,7.1917501121,195,17,837,11,50,1079,215,2,2406,0.9593151965,0.0836326069,0.0541152162,4.1176759974,0.2459782555,5.3082107542,1.0577064987,0.0098391302,11.8364736557,33455,205,61.2763413541,203.27,50.95,203.27,164.5840507699,66.5370249855,5.2606836314,0.041159104
100306,2.8395784543,0.2049180328,6.7330210773,0.0878220141,0.6147540984,10.9192037471,1.0245901639,0.0585480094,22.4824355972,0.5563840771,0.0401514282,1.3192612137,0.017207755,0.1204542847,2.1394975336,0.2007571412,0.0114718366,4.4051852702,97,7,230,3,21,373,35,2,768,0.5853952927,0.0422450211,0.0181050091,1.388050694,0.1267350634,2.2510561255,0.2112251056,0.012070006,4.6348823174,17434,93,53.3440403809,165.7,34.16,165.7,105.2142426071,64.0420461323,10.6980057514,0.0911352109
100307,0.7057546145,0.1357220413,2.1986970684,0.0271444083,0.1900108578,1.8729641694,2.3072747014,0,7.437567861,0.0869216368,0.0167156994,0.27079433,0.0033431399,0.0234019791,0.2306766515,0.2841668895,0,0.9160203263,26,5,81,1,7,69,85,0,274,0.0841260597,0.0161780884,0.0032356177,0.262085032,0.0226493238,0.2232576199,0.2750275028,0,0.8865592442,29912,156,52.1529820808,309.06,36.84,309.06,96.7837960267,55.6252475243,3.4722654436,0.0322167608
100401,2.0869565217,1.5652173913,8.5217391304,0.6956521739,0.1739130435,17.0434782609,2.2608695652,0.0869565217,32.4347826087,0.2009377093,0.150703282,0.8204956463,0.0669792364,0.0167448091,1.6409912927,0.2176825184,0.0083724046,3.1229068989,24,18,98,8,2,196,26,1,373,4.0336134454,3.025210084,1.3445378151,16.4705882353,0.3361344538,32.9411764706,4.3697478992,0.1680672269,62.6890756303,11944,76,63.6302746149,5.95,11.5,5.95,2007.3949579832,67.8151976874,4.1849230726,0.0318377119
100402,1.7072129748,0.4268032437,5.76184379,0.8536064874,0.1280409731,12.4626547162,1.6645326504,0.2134016219,23.2180964575,0.2462296091,0.0615574023,0.8310249307,0.1231148046,0.0184672207,1.7974761465,0.2400738689,0.0307787011,3.3487226839,40,10,135,20,3,292,39,5,544,2.8429282161,0.710732054,1.421464108,9.5948827292,0.2132196162,20.7533759773,2.7718550107,0.355366027,38.6638237385,16245,59,36.3188673438,14.07,23.43,14.07,1154.5842217484,71.8151821967,35.4963148529,0.3282621432
100403,2.2113022113,1.2285012285,5.9787059787,0.4095004095,0.0819000819,13.8411138411,2.2113022113,0.2457002457,26.208026208,0.5051449953,0.2806361085,1.3657623948,0.0935453695,0.0187090739,3.1618334892,0.5051449953,0.0561272217,5.9869036483,27,15,73,5,1,169,27,3,320,4.8042704626,2.6690391459,0.8896797153,12.9893238434,0.1779359431,30.0711743772,4.8042704626,0.5338078292,56.9395017794,5345,24,44.901777362,5.62,12.21,5.62,951.0676156584,84.8399237404,39.9381463784,0.3078281388
100404,3.0651340996,1.1494252874,14.9425287356,1.5325670498,1.3409961686,30.0766283525,4.7892720307,0.5747126437,57.4712643678,0.5513439008,0.2067539628,2.6878015162,0.2756719504,0.2412129566,5.4100620262,0.8614748449,0.1033769814,10.3376981392,16,6,78,8,7,157,25,3,300,3.5794183445,1.3422818792,1.7897091723,17.4496644295,1.5659955257,35.1230425056,5.5928411633,0.6711409396,67.1140939597,2902,29,99.9310820124,4.47,5.22,4.47,649.2170022371,92.9777218864,6.953360126,0.0360448045
100405,1.6622922135,1.6622922135,7.874015748,0.3499562555,0.2624671916,22.39720035,2.2747156605,0.1749781277,36.6579177603,0.1747608536,0.1747608536,0.8278145695,0.0367917586,0.027593819,2.3546725533,0.2391464312,0.0183958793,3.8539367182,19,19,90,4,3,256,26,2,419,2.6573426573,2.6573426573,0.5594405594,12.5874125874,0.4195804196,35.8041958042,3.6363636364,0.2797202797,58.6013986014,10872,77,70.8241353937,7.15,11.43,7.15,1520.5594405594,75.0756826544,4.2515472607,0.0291401821
100502,4.3462132921,0.5316846986,14.0525502318,0.2349304482,0.8469860896,24.2349304482,2.3493044822,0.0803709428,46.6769706337,0.7329406245,0.0896627222,2.3698065996,0.0396184121,0.1428348016,4.0869519887,0.3961841214,0.0135536673,7.8715529375,703,86,2273,38,137,3920,380,13,7550,4.1952616817,0.5132183565,0.2267709017,13.5644805156,0.8175687772,23.3932088083,2.2677090171,0.077579519,45.0557975771,95915,693,72.2514726581,167.57,161.75,167.57,572.3876588888,76.0888590411,3.837386383,0.0258688001
100508,4.3007441622,0.2258147293,10.618424429,0.2412111881,0.6415191173,19.2147806005,2.2940723634,0.0769822941,37.6135488838,0.8829138263,0.0463582439,2.1798910581,0.0495190332,0.1316995564,3.9446651144,0.4709576138,0.0158039468,7.7218083929,838,44,2069,47,125,3744,447,15,7329,3.9348265014,0.2066018688,0.2206883599,9.714983331,0.5869371273,17.5799408367,2.0988871672,0.0704324553,34.4132976476,94913,437,46.04216493,212.97,194.85,212.97,445.6637085035,75.5199133112,29.4777483812,0.2424913164
