addrcode,subdistrict_th,subdistrict_en,district_code,district_th,district_en,province_code,province_th,province_en,LAT,LONG,Population
102503,บางบำหรุ,,1025,บางพลัด,Bang Phlat,10,กรุงเทพมหานคร,Bangkok,13.781,100.482,19029
102504,บางยี่ขัน,,1025,บางพลัด,Bang Phlat,10,กรุงเทพมหานคร,Bangkok,13.774,100.492,25349
102601,ดินแดง,,1026,ดินแดง,Din Daeng,10,กรุงเทพมหานคร,Bangkok,13.778,100.567,123966
102701,คลองกุ่ม,,1027,บึงกุ่ม,Bung Kum,10,กรุงเทพมหานคร,Bangkok,13.808,100.65,69682
102704,นวมินทร์,,1027,บึงกุ่ม,Bung Kum,10,กรุงเทพมหานคร,Bangkok,,,28023
102705,นวลจันทร์,,1027,บึงกุ่ม,Bung Kum,10,กรุงเทพมหานคร,Bangkok,,,46744
102801,ทุ่งวัดดอน,,1028,สาทร,Sa Thon,10,กรุงเทพมหานคร,Bangkok,13.71,100.532,39763
102802,ยานนาวา,,1028,สาทร,Sa Thon,10,กรุงเทพมหานคร,Bangkok,13.714,100.514,21071
102803,ทุ่งมหาเมฆ,,1028,สาทร,Sa Thon,10,กรุงเทพมหานคร,Bangkok,13.718,100.541,19663
102901,บางซื่อ,,1029,บางซื่อ,Bang Su,10,กรุงเทพมหานคร,Bangkok,13.82,100.529,81838
102902,วงศ์สว่าง,,1029,บางซื่อ,Bang Su,10,กรุงเทพมหานคร,Bangkok,,,44298
103001,ลาดยาว,,1030,จตุจักร,Chatuchak,10,กรุงเทพมหานคร,Bangkok,13.826,100.565,43919
103002,เสนานิคม,,1030,จตุจักร,Chatuchak,10,กรุงเทพมหานคร,Bangkok,,,20065
103003,จันทรเกษม,,1030,จตุจักร,Chatuchak,10,กรุงเทพมหานคร,Bangkok,,,38952
103004,จอมพล,,1030,จตุจักร,Chatuchak,10,กรุงเทพมหานคร,Bangkok,,,31180
103005,จตุจักร,,1030,จตุจักร,Chatuchak,10,กรุงเทพมหานคร,Bangkok,,,24014
103101,บางคอแหลม,,1031,บางคอแหลม,Bang Kho Laem,10,กรุงเทพมหานคร,Bangkok,13.696,100.494,25510
103102,วัดพระยาไกร,,1031,บางคอแหลม,Bang Kho Laem,10,กรุงเทพมหานคร,Bangkok,13.706,100.508,27058
103103,บางโคล่,,1031,บางคอแหลม,Bang Kho Laem,10,กรุงเทพมหานคร,Bangkok,13.694,100.516,37809
103201,ประเวศ,,1032,ประเวศ,Prawet,10,กรุงเทพมหานคร,Bangkok,13.719,100.664,83072
103202,หนองบอน,,1032,ประเวศ,Prawet,10,กรุงเทพมหานคร,Bangkok,13.687,100.656,42765
103203,ดอกไม้,,1032,ประเวศ,Prawet,10,กรุงเทพมหานคร,Bangkok,13.68,100.689,46924
103301,คลองเตย,,1033,คลองเตย,Khlong Toei,10,กรุงเทพมหานคร,Bangkok,13.71,100.57,69264
103302,คลองตัน,,1033,คลองเตย,Khlong Toei,10,กรุงเทพมหานคร,Bangkok,13.723,100.571,11321
103303,พระโขนง,,1033,คลองเตย,Khlong Toei,10,กรุงเทพมหานคร,Bangkok,13.707,100.595,23626
103401,สวนหลวง,,1034,สวนหลวง,Suan Luang,10,กรุงเทพมหานคร,Bangkok,13.726,100.628,121740
103501,บางขุนเทียน,,1035,จอมทอง,Chom Thong,10,กรุงเทพมหานคร,Bangkok,13.694,100.45,37526
103502,บางค้อ,,1035,จอมทอง,Chom Thong,10,กรุงเทพมหานคร,Bangkok,13.702,100.476,35576
