date,addrcode,province,district,subdist,province_en,district_en,subdist_en,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total
2017-06-01,100106,กรุงเทพมหานคร,เขตพระนคร,แขวงเสาชิงช้า,Bangkok,,,5,3,17,9,0,54,1,0,89
2017-07-01,103903,กรุงเทพมหานคร,เขตวัฒนา,แขวงพระโขนงเหนือ,Bangkok,,,129,24,358,21,15,644,81,4,1276
2017-06-01,103303,กรุงเทพมหานคร,เขตคลองเตย,แขวงพระโขนง,Bangkok,,,137,13,233,13,17,702,85,2,1202
2012-01-01,102201,กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงบางหว้า,Bangkok,,,122,26,711,20,43,1068,123,7,2120
2017-05-01,101505,กรุงเทพมหานคร,เขตธนบุรี,แขวงตลาดพลู,Bangkok,,,25,12,108,8,12,341,21,0,527
2017-06-01,103101,กรุงเทพมหานคร,เขตบางคอแหลม,แขวงบางคอแหลม,Bangkok,,,20,8,114,5,4,233,13,2,399
2012-01-01,103504,กรุงเทพมหานคร,เขตจอมทอง,แขวงจอมทอง,Bangkok,,,113,23,583,24,25,1029,128,3,1928
2012-02-01,102302,กรุงเทพมหานคร,เขตหนองแขม,แขวงหนองแขม,Bangkok,,,289,28,1353,24,136,2298,250,5,4383
2017-07-01,101204,กรุงเทพมหานคร,เขตยานนาวา,แขวงบางโพงพาง,Bangkok,,,35,11,165,5,7,266,57,1,547
2017-07-01,102402,กรุงเทพมหานคร,เขตราษฎร์บูรณะ,แขวงบางปะกอก,Bangkok,,,128,21,611,20,41,934,95,4,1854
2012-01-01,105001,กรุงเทพมหานคร,เขตบางบอน,แขวงบางบอน,Bangkok,,,520,96,3866,74,164,4234,601,13,9568
2017-07-01,103503,กรุงเทพมหานคร,เขตจอมทอง,แขวงบางมด,Bangkok,,,146,20,1135,20,44,1725,165,6,3261
2017-07-01,102401,กรุงเทพมหานคร,เขตราษฎร์บูรณะ,แขวงราษฎร์บูรณะ,Bangkok,,,101,9,294,5,11,485,100,3,1008
2017-04-01,104701,กรุงเทพมหานคร,เขตบางนา,แขวงบางนา,Bangkok,,,151,15,510,11,20,686,154,7,1554
2017-05-01,101504,กรุงเทพมหานคร,เขตธนบุรี,แขวงบุคคโล,Bangkok,,,32,15,204,10,9,327,33,1,631
2017-06-01,101203,กรุงเทพมหานคร,เขตยานนาวา,แขวงช่องนนทรีย์,Bangkok,,,209,34,558,23,27,1141,156,5,2153
2017-05-01,101804,กรุงเทพมหานคร,เขตคลองสาน,แขวงคลองต้นไทร,Bangkok,,,31,13,87,5,4,185,29,1,355
2017-05-01,101503,กรุงเทพมหานคร,เขตธนบุรี,แขวงบางยี่เรือ,Bangkok,,,18,19,158,5,2,241,36,1,480
2017-06-01,102803,กรุงเทพมหานคร,เขตสาทร,แขวงทุ่งมหาเมฆ,Bangkok,,,54,16,182,11,11,530,55,4,863
2012-01-01,103502,กรุงเทพมหานคร,เขตจอมทอง,แขวงบางค้อ,Bangkok,,,71,17,268,13,9,509,45,1,933
2012-02-01,104902,กรุงเทพมหานคร,เขตทุ่งครุ,แขวงทุ่งครุ,Bangkok,,,188,16,1057,13,27,1583,151,6,3041
2012-01-01,104301,กรุงเทพมหานคร,เขตคันนายาว,แขวงคันนายาว,Bangkok,,,306,28,1013,22,74,1769,158,4,3374
2012-02-01,104602,กรุงเทพมหานคร,เขตคลองสามวา,แขวงสามวาตะวันออก,Bangkok,,,97,12,287,3,35,571,177,1,1183
2017-07-01,104504,กรุงเทพมหานคร,เขตวังทองหลาง,แขวงพลับพลา,Bangkok,,,518,61,1506,34,57,2034,252,5,4467
2017-07-01,104901,กรุงเทพมหานคร,เขตทุ่งครุ,แขวงบางมด,Bangkok,,,186,17,691,11,25,959,104,3,1996
