addrcode,date,hi,ci,bi
810703,2011-09-01,5,0.81,5
810701,2011-09-01,5,0.75,5
800406,2011-09-01,30,3.01,30
800406,2011-09-01,25,2.75,25
800404,2011-09-01,42.5,4.16,42.5
800404,2011-09-01,37.5,4.23,37.5
800708,2011-09-01,7.5,1.61,13.75
800708,2011-09-01,6.25,1.23,10
800710,2011-09-01,9.17,2.11,15
800703,2011-09-01,7.5,2,15
800706,2011-09-01,7.5,1.72,13.75
800706,2011-09-01,8.75,1.89,15
800706,2011-09-01,10,2.47,20
800904,2011-09-01,17.5,7.2,65
800904,2011-09-01,20,3.77,20
800904,2011-09-01,22.5,8.45,60
800909,2011-09-01,17.5,4.43,22.5
800905,2011-09-01,22.5,4.11,22.5
800905,2011-09-01,22.5,4.76,22.5
800905,2011-09-01,27.5,10.86,95
801701,2011-09-01,12.5,3.46,25
801704,2011-09-01,10,3.72,27.5
801704,2011-09-01,12.5,13.44,102.5
801704,2011-09-01,10,2.33,15
801704,2011-09-01,12.5,3.38,25
801702,2011-09-01,7.5,2.65,20
801702,2011-09-01,10,2.7,20
801702,2011-09-01,7.5,2.65,20
801702,2011-09-01,10,2.7,20
810115,2011-08-01,4,1.09,4
810808,2011-08-01,6,0.41,3
710612,2011-08-01,42,8.45,84
710613,2011-08-01,68,18.76,176
710202,2011-08-01,30,5.68,50
730307,2011-08-01,10,2.6,16
730701,2011-08-01,4,4.62,29
730608,2011-08-01,0,0,0
800404,2011-08-01,7.5,3,25
800903,2011-08-01,4,1.33,10
802004,2011-08-01,6.43,0.72,3.57
800120,2011-08-01,5,0.83,6
700405,2011-08-01,0,0,0
700602,2011-08-01,5,0.62,5
700504,2011-08-01,28,3.75,36
700701,2011-08-01,22,4.5,25
700103,2011-08-01,0,0,0
740209,2011-08-01,20,4.87,19
740304,2011-08-01,2,0.35,2
720712,2011-08-01,18,2.52,24
720712,2011-08-01,14,2.03,20
810403,2011-07-01,10,2.4,10
810405,2011-07-01,7.5,1.66,7.5
810405,2011-07-01,7.5,1.79,7.5
810405,2011-07-01,10,2.19,10
810703,2011-07-01,2.5,0,0
810703,2011-07-01,2.5,1.89,2.5
810701,2011-07-01,2.5,1.56,2.5
800409,2011-07-01,17.5,2.2,17.5
800409,2011-07-01,20,2.32,20
800913,2011-07-01,27.5,11.66,100
800911,2011-07-01,40,12.53,140
800906,2011-07-01,30,6.65,62.5
800910,2011-07-01,40,11.5,122.5
801701,2011-07-01,12.5,1.77,12.5
801704,2011-07-01,15,2.58,17.5
801704,2011-07-01,15,2.21,15
801702,2011-07-01,12.5,2.03,15
801702,2011-07-01,17.5,2.5,17.5
800502,2011-07-01,20,2.37,20
800502,2011-07-01,17.5,2,17.5
120404,2011-07-01,32.5,11.49,75
120404,2011-07-01,34.15,12.41,43.9
120404,2011-07-01,26.19,12.87,61.9
120404,2011-07-01,34.15,0,0
840808,2011-06-01,26,9.23,42
840808,2011-06-01,21,8.08,32
810405,2011-05-01,7.5,1.85,7.5
810701,2011-05-01,2.5,0.4,2.5
810808,2011-05-01,0,0,0
103001,2011-05-01,0,0,0
710612,2011-05-01,46,7.63,78
710613,2011-05-01,70,17.19,152
710202,2011-05-01,32,6.73,55
730307,2011-05-01,26,6.63,64
730701,2011-05-01,24,11.53,80
730101,2011-05-01,4,1.39,8
730101,2011-05-01,8,2.01,10
730101,2011-05-01,6,1.57,7
730608,2011-05-01,4,4.17,10
800416,2011-05-01,47.5,13.54,77.5
800401,2011-05-01,30,13.9,65
800404,2011-05-01,17.5,2.2,17.5
800404,2011-05-01,20,2.32,20
800405,2011-05-01,35,15.79,75
800409,2011-05-01,22.5,2.57,22.5
800409,2011-05-01,20,2.37,20
800710,2011-05-01,10,2.8,22.5
800710,2011-05-01,7.5,1.87,15
800709,2011-05-01,15,3.41,32.5
800703,2011-05-01,12.5,4.07,30
800705,2011-05-01,12.5,3.2,22.5
800903,2011-05-01,4,1.03,8
801101,2011-05-01,32.5,14.1,80
802004,2011-05-01,6.43,0.72,3.57
800501,2011-05-01,32.5,17.06,72.5
800120,2011-05-01,5,0.77,6
120404,2011-05-01,11.65,11.52,12.14
120404,2011-05-01,44.44,15.35,86.67
120402,2011-05-01,9.62,10.38,9.13
120402,2011-05-01,23.91,10.14,45.65
120304,2011-05-01,12.77,1.49,4.26
120601,2011-05-01,0,0,0
130101,2011-05-01,0,0,0
130101,2011-05-01,0,0,0
140605,2011-05-01,16.67,3.27,40
140106,2011-05-01,19.7,4.96,54.55
700401,2011-05-01,0,0,0
700602,2011-05-01,5,0.69,5
700501,2011-05-01,5,0.16,1
700708,2011-05-01,5,1.31,6
700103,2011-05-01,0,0,0
740209,2011-05-01,20,6.65,28
740304,2011-05-01,0,0,0
720712,2011-05-01,44,6.73,82
720712,2011-05-01,18,3.73,38
810204,2011-04-01,0,0,0
810403,2011-04-01,7.5,1.89,7.5
810403,2011-04-01,7.5,35.34,100
810404,2011-04-01,10,2.42,10
810405,2011-04-01,10,1.78,7.5
810405,2011-04-01,10,2.45,10
800406,2011-04-01,27.5,5.94,47.5
800404,2011-04-01,32.5,3.38,32.5
800404,2011-04-01,22.5,3.61,30
800404,2011-04-01,35,4.86,35
800708,2011-04-01,12.5,3.16,25
800708,2011-04-01,7.5,1.87,12.5
800702,2011-04-01,15,3.1,22.5
800706,2011-04-01,15,3.45,22.5
800706,2011-04-01,10,3.36,22.5
801701,2011-04-01,12.5,3.53,27.5
801704,2011-04-01,17.5,8.93,75
801702,2011-04-01,12.5,4.08,32.5
801702,2011-04-01,12.5,3.67,30
801702,2011-04-01,17.5,4.36,35
810201,2011-03-01,10,1.44,10
810201,2011-03-01,7.5,1.11,7.5
810405,2011-03-01,7.5,1.69,7.5
810106,2011-03-01,5,0.83,5
810115,2011-03-01,15,5.23,20
810115,2011-03-01,5,2.15,6.67
810115,2011-03-01,15,5.23,20
810703,2011-03-01,5,0.86,5
810701,2011-03-01,2.5,0.44,2.5
810502,2011-03-01,7.5,1.52,7.5
810502,2011-03-01,5,0.69,5
810501,2011-03-01,12.5,2.1,12.5
730102,2011-03-01,17,4.58,26
730102,2011-03-01,28,8.26,46
730102,2011-03-01,42,11.85,75
800404,2011-03-01,20,2.54,20
800404,2011-03-01,22.5,2.1,20
800404,2011-03-01,27.5,3.67,27.5
800404,2011-03-01,30,3.37,30
800710,2011-03-01,15,4.25,27.5
800705,2011-03-01,20,7.41,55
801701,2011-03-01,10,2.41,20
801701,2011-03-01,10,2.33,20
801701,2011-03-01,15,2.84,27.5
801701,2011-03-01,12.5,2.18,20
801702,2011-03-01,0,0,0
140605,2011-03-01,7.5,6.86,43.33
810115,2011-02-01,5,2.4,6.67
810808,2011-02-01,0,0,0
810808,2011-02-01,0,0,0
710612,2011-02-01,66,17.63,134
710613,2011-02-01,80,29.51,206
710202,2011-02-01,50,11.19,79
730307,2011-02-01,13,0,0
730701,2011-02-01,32,10.77,89
800404,2011-02-01,15,3.06,15
800404,2011-02-01,17.5,2.86,17.5
800404,2011-02-01,22.5,3.35,22.5
800404,2011-02-01,12.5,2.39,12.5
800913,2011-02-01,30,3.36,27.5
800909,2011-02-01,15,2.33,17.5
800905,2011-02-01,20,2.91,22.5
800906,2011-02-01,25,2.77,25
700405,2011-02-01,0,0,0
700602,2011-02-01,1,0.13,1
700504,2011-02-01,3,0.41,3
700708,2011-02-01,2,0.45,3
700103,2011-02-01,0,0,0
740209,2011-02-01,17,7.54,23
740304,2011-02-01,0,0,0
720712,2011-02-01,66,13.39,146
720712,2011-02-01,12,2.03,14
730608,2011-01-01,9,4.68,16
