"","Subdistrict_Code","Year","Week","NumberCases"
"415","104901",2014,45,1
"416","104603",2014,45,1
"417","102803",2014,45,1
"418","100401",2014,45,1
"419","103201",2014,45,3
"420","104002",2014,45,2
"421","100601",2014,45,2
"422","101902",2014,45,1
"423","102303",2014,45,3
"424","101602",2014,45,2
"425","102802",2014,45,1
"426","102209",2014,45,1
"427","102105",2014,45,3
"428","102207",2014,45,1
"429","102201",2014,45,1
"430","102107",2014,45,2
"431","102005",2014,45,1
"432","101103",2014,45,1
"433","100104",2014,45,1
"434","102206",2014,45,1
"435","103702",2014,45,1
"436","102504",2014,45,1
"437","100405",2014,45,1
"438","102302",2014,45,1
"439","100801",2014,45,1
"440","100502",2014,45,1
"441","102701",2014,46,6
"442","109999",2014,46,1
"443","103701",2014,46,2
"444","104401",2014,46,8
"445","101401",2014,46,6
"446","103902",2014,46,3
"447","103401",2014,46,5
"448","102802",2014,46,3
"449","104701",2014,46,3
"450","101502",2014,46,2
"451","104004",2014,46,3
"452","102107",2014,46,5
"453","102303",2014,46,2
"454","104101",2014,46,2
"455","103602",2014,46,2
"456","104201",2014,46,3
"457","100905",2014,46,3
"458","100111",2014,46,1
"459","102105",2014,46,2
"460","103203",2014,46,3
"461","100601",2014,46,2
"462","103102",2014,46,5
"463","104902",2014,46,1
"464","101902",2014,46,2
"465","104001",2014,46,3
"466","101203",2014,46,4
"467","102601",2014,46,9
"468","104901",2014,46,1
"469","100109",2014,46,1
"470","103002",2014,46,1
"471","104504",2014,46,1
"472","102005",2014,46,3
"473","101602",2014,46,3
"474","104301",2014,46,3
"475","101103",2014,46,1
"476","101101",2014,46,1
"477","100305",2014,46,2
"478","102501",2014,46,1
"479","102401",2014,46,2
"480","100302",2014,46,2
"481","104802",2014,46,2
"482","100608",2014,46,3
"483","103703",2014,46,1
"484","100201",2014,46,1
"485","103801",2014,46,4
"486","102901",2014,46,5
"487","102302",2014,46,3
"488","101504",2014,46,1
"489","100307",2014,46,1
"490","100110",2014,46,1
"491","101001",2014,46,2
"492","105001",2014,46,5
"493","103103",2014,46,3
"494","103101",2014,46,2
"495","103702",2014,46,2
"496","102504",2014,46,1
"497","101601",2014,46,1
"498","103004",2014,46,1
"499","100204",2014,46,3
"500","103301",2014,46,3
"501","104503",2014,46,1
"502","102801",2014,46,3
"503","103903",2014,46,2
"504","102209",2014,46,1
"505","101204",2014,46,1
"506","102902",2014,46,1
"507","103201",2014,46,1
"508","102402",2014,46,1
"509","104003",2014,46,2
"510","103604",2014,46,3
"511","103503",2014,46,2
"512","100702",2014,46,1
