"","Subdistrict_Code","Year","NumberCases"
"639","800612",2015,3
"640","801216",2015,2
"641","802101",2015,5
"642","810203",2015,16
"643","800906",2015,11
"644","801801",2015,5
"645","800803",2015,20
"646","810503",2015,13
"647","801605",2015,8
"648","802004",2015,11
"649","810701",2015,13
"650","800119",2015,5
"651","810201",2015,19
"652","801603",2015,16
"653","801218",2015,3
"654","810205",2015,10
"655","810601",2015,17
"656","802201",2015,17
"657","802303",2015,20
"658","800403",2015,13
"659","810401",2015,26
"660","801704",2015,14
"661","800911",2015,15
"662","810406",2015,22
"663","801301",2015,36
"664","810407",2015,21
"665","800205",2015,12
"666","810402",2015,34
"667","800203",2015,9
"668","801302",2015,25
"669","810805",2015,10
"670","810604",2015,7
"671","800115",2015,24
"672","802302",2015,10
"673","810502",2015,10
"674","800501",2015,9
"675","802002",2015,14
"676","810305",2015,11
"677","810304",2015,10
"678","801003",2015,21
"679","801407",2015,8
"680","800710",2015,17
"681","800107",2015,26
"682","800416",2015,13
"683","800603",2015,2
"684","801906",2015,22
"685","800813",2015,24
"686","801701",2015,30
"687","810501",2015,11
"688","800907",2015,25
"689","801306",2015,15
"690","800810",2015,14
"691","810804",2015,9
"692","800302",2015,27
"693","801201",2015,8
"694","810302",2015,5
"695","810806",2015,5
"696","801214",2015,3
"697","800305",2015,19
"698","801601",2015,8
"699","810507",2015,12
"700","800504",2015,7
"701","801215",2015,2
"702","801105",2015,29
"703","801803",2015,5
"704","800502",2015,11
"705","800611",2015,8
"706","801207",2015,1
"707","810202",2015,6
"708","801608",2015,5
"709","800303",2015,11
"710","801208",2015,1
"711","800102",2015,12
"712","800112",2015,8
"713","800909",2015,17
"714","800806",2015,11
"715","800301",2015,7
"716","800121",2015,14
"717","800613",2015,14
"718","801202",2015,2
"719","800113",2015,6
"720","801903",2015,7
"721","800415",2015,4
"722","801901",2015,7
"723","801103",2015,11
"724","800204",2015,29
"725","801602",2015,19
"726","800106",2015,9
"727","801107",2015,17
"728","801305",2015,18
"729","800406",2015,8
"730","801210",2015,3
"731","800601",2015,2
"732","800804",2015,8
"733","802103",2015,4
"734","800905",2015,6
"735","800904",2015,17
"736","800405",2015,9
"737","801002",2015,21
"738","802304",2015,7
"739","801205",2015,1
"740","800401",2015,15
"741","800605",2015,3
"742","800409",2015,9
"743","800201",2015,15
"744","802102",2015,23
"745","801102",2015,5
"746","810206",2015,8
"747","800809",2015,8
"748","802202",2015,13
"749","800802",2015,20
"750","801610",2015,1
"751","800407",2015,7
"752","800807",2015,26
"753","800708",2015,3
"754","800410",2015,10
"755","801502",2015,4
"756","800704",2015,2
"757","800910",2015,7
"758","800707",2015,3
"759","802301",2015,6
"760","800606",2015,5
"761","800705",2015,3
"762","800202",2015,9
"763","800711",2015,5
"764","801802",2015,2
"765","801304",2015,2
"766","800703",2015,6
"767","801609",2015,2
"768","800706",2015,5
"769","802104",2015,6
"770","800702",2015,2
"771","800604",2015,1
"772","801606",2015,2
"773","801607",2015,2
"774","801206",2015,1
"775","801106",2015,1
"776","801604",2015,3
"777","800505",2015,1
"778","100301",2016,41
"779","100302",2016,39
"780","100303",2016,10
"781","100304",2016,22
"782","100305",2016,31
"783","100306",2016,19
"784","100308",2016,17
"785","100502",2016,115
"786","100508",2016,106
"787","100601",2016,190
"788","100608",2016,210
"789","100905",2016,101
"790","101001",2016,153
"791","101002",2016,75
"792","101101",2016,33
"793","101102",2016,91
"794","101104",2016,37
"795","101105",2016,19
"796","101203",2016,86
"797","101204",2016,49
"798","101504",2016,53
"799","101601",2016,22
"800","101701",2016,48
"801","101704",2016,47
"802","101804",2016,19
"803","102005",2016,40
"804","102107",2016,105
"805","103004",2016,75
"806","103201",2016,111
"807","103401",2016,202
"808","103501",2016,56
"809","103504",2016,51
"810","103602",2016,76
"811","103701",2016,31
"812","103704",2016,48
"813","103801",2016,155
"814","103902",2016,62
"815","104101",2016,78
"816","104301",2016,109
"817","104401",2016,143
"818","104503",2016,41
"819","104504",2016,63
"820","104902",2016,48
"821","100103",2016,4
"822","100104",2016,5
"823","100105",2016,6
"824","100107",2016,6
"825","100108",2016,14
"826","100109",2016,7
"827","100110",2016,11
"828","100111",2016,4
"829","100201",2016,20
"830","100202",2016,14
"831","100203",2016,21
"832","100204",2016,10
"833","100206",2016,55
"834","100401",2016,16
"835","100405",2016,10
"836","100701",2016,30
"837","100801",2016,29
"838","102202",2016,39
"839","102207",2016,32
"840","102302",2016,56
"841","102401",2016,57
"842","102504",2016,30
"843","102701",2016,150
"844","102705",2016,38
"845","102801",2016,58
"846","102802",2016,37
"847","102901",2016,129
"848","103001",2016,68
"849","103002",2016,17
"850","103003",2016,63
"851","103101",2016,33
"852","103102",2016,34
"853","103103",2016,57
"854","103202",2016,53
"855","103203",2016,49
"856","103301",2016,117
"857","103303",2016,27
"858","103802",2016,31
"859","103903",2016,65
"860","104201",2016,37
"861","104501",2016,63
"862","104502",2016,16
"863","104601",2016,39
"864","104602",2016,14
"865","104603",2016,60
"866","104701",2016,141
"867","104901",2016,63
"868","100307",2016,27
"869","102601",2016,265
"870","100702",2016,9
"871","100802",2016,21
"872","100803",2016,6
"873","100804",2016,5
"874","100805",2016,5
"875","101106",2016,6
"876","101302",2016,17
"877","101401",2016,135
"878","101503",2016,29
"879","101507",2016,14
"880","101602",2016,61
"881","101802",2016,14
"882","101803",2016,37
"883","101902",2016,51
"884","101904",2016,23
"885","102007",2016,74
"886","102009",2016,23
"887","102105",2016,56
"888","102201",2016,48
"889","102402",2016,51
"890","102501",2016,45
"891","102502",2016,37
"892","102503",2016,30
"893","103005",2016,22
"894","103502",2016,52
"895","103503",2016,48
"896","103703",2016,19
"897","103901",2016,24
"898","104002",2016,50
"899","104003",2016,46
"900","104004",2016,42
"901","104202",2016,24
"902","104203",2016,42
"903","104302",2016,38
"904","104605",2016,8
"905","104802",2016,40
"906","100101",2016,3
"907","100106",2016,3
"908","100402",2016,10
"909","100704",2016,12
"910","101303",2016,8
"911","101501",2016,16
"912","101502",2016,9
"913","101505",2016,26
"914","101506",2016,15
"915","101702",2016,16
"916","101801",2016,9
"917","101901",2016,9
"918","101903",2016,21
"919","101905",2016,26
"920","101907",2016,12
"921","102004",2016,29
"922","102006",2016,9
"923","102206",2016,11
"924","102208",2016,21
"925","102209",2016,26
"926","102210",2016,7
"927","102303",2016,71
"928","102704",2016,18
"929","102803",2016,26
"930","102902",2016,29
"931","103302",2016,18
"932","103604",2016,55
"933","103605",2016,13
"934","103702",2016,18
"935","104001",2016,84
"936","104102",2016,23
"937","104604",2016,24
"938","104801",2016,17
"939","105001",2016,125
"940","100102",2016,9
"941","100403",2016,3
"942","100404",2016,2
"943","100703",2016,4
"944","101103",2016,18
"945","101301",2016,3
"946","100112",2016,2
"947","810101",2016,40
"948","800901",2016,43
"949","800121",2016,17
"950","800911",2016,39
"951","810305",2016,8
