addrcode,date,cases
100306,2016-06-01,6
100306,2016-01-01,3
100306,2016-10-01,1
100306,2016-03-01,2
100306,2016-09-01,1
100306,2016-04-01,1
100306,2017-01-01,1
100306,2017-08-01,5
100306,2017-09-01,2
100306,2017-10-01,2
100306,2017-12-01,4
100306,2017-11-01,1
100306,2017-07-01,1
100306,2018-03-01,1
100306,2018-04-01,4
100306,2018-02-01,1
100306,2018-05-01,1
100306,2018-01-01,1
100307,2014-10-01,2
100307,2014-11-01,5
100307,2014-12-01,4
100307,2014-01-01,1
100307,2014-02-01,1
100307,2014-03-01,1
100307,2014-04-01,2
100307,2014-05-01,2
100307,2014-06-01,2
100307,2014-07-01,5
100307,2014-08-01,6
100307,2014-09-01,5
100307,2015-11-01,23
100307,2015-07-01,6
100307,2015-08-01,16
100307,2015-03-01,1
100307,2015-09-01,13
100307,2015-04-01,1
100307,2015-12-01,12
100307,2015-10-01,10
100307,2015-06-01,4
100307,2015-01-01,1
100307,2015-05-01,2
100307,2016-04-01,3
100307,2016-08-01,8
100307,2016-09-01,4
100307,2016-01-01,1
100307,2016-10-01,3
100307,2016-03-01,2
100307,2016-11-01,5
100307,2016-07-01,1
100307,2017-02-01,4
100307,2017-08-01,5
100307,2017-09-01,6
100307,2017-12-01,4
100307,2017-10-01,6
100307,2017-11-01,5
100307,2017-01-01,2
100307,2017-05-01,4
100307,2017-07-01,3
100307,2017-06-01,1
100307,2018-02-01,3
100307,2018-04-01,2
100307,2018-01-01,2
100307,2018-03-01,3
100307,2018-05-01,1
100308,2014-01-01,1
100308,2014-06-01,1
100308,2014-08-01,2
100308,2015-03-01,2
100308,2015-09-01,11
100308,2015-05-01,1
100308,2015-08-01,8
100308,2015-10-01,11
100308,2015-11-01,4
100308,2015-07-01,5
100308,2015-12-01,2
100308,2015-04-01,1
100308,2016-01-01,3
100308,2016-02-01,7
100308,2016-10-01,4
100308,2016-09-01,2
100308,2016-08-01,1
100308,2017-02-01,2
100308,2017-06-01,1
100308,2017-10-01,1
100308,2017-01-01,3
100308,2017-07-01,2
100308,2017-11-01,2
100308,2018-03-01,1
100401,2014-10-01,4
100401,2014-11-01,3
100401,2014-12-01,2
100401,2014-05-01,1
100401,2015-10-01,8
100401,2015-11-01,15
100401,2015-08-01,1
100401,2015-12-01,2
100401,2015-06-01,1
100401,2015-05-01,1
100401,2015-03-01,1
100401,2015-09-01,1
100401,2015-07-01,1
100401,2016-11-01,2
100401,2016-01-01,6
100401,2016-10-01,2
100401,2016-12-01,2
100401,2016-09-01,2
100401,2016-05-01,1
100401,2016-02-01,1
100401,2017-10-01,9
100401,2017-11-01,7
100401,2017-08-01,3
100401,2017-07-01,1
100401,2017-09-01,1
100401,2017-05-01,2
100401,2017-12-01,3
100401,2017-03-01,1
100401,2017-01-01,1
100401,2017-06-01,1
100401,2018-05-01,1
100401,2018-04-01,1
100402,2014-10-01,1
100402,2014-11-01,1
100402,2014-05-01,1
100402,2014-06-01,1
100402,2014-07-01,1
100402,2014-08-01,2
100402,2014-09-01,1
100402,2015-10-01,4
100402,2015-01-01,1
100402,2015-11-01,2
100402,2015-05-01,4
100402,2015-02-01,1
100402,2015-06-01,3
100402,2015-08-01,2
100402,2015-04-01,1
100402,2015-12-01,1
100402,2015-09-01,1
100402,2015-07-01,2
100402,2016-02-01,2
100402,2016-07-01,1
100402,2016-03-01,1
100402,2016-08-01,1
100402,2016-01-01,4
100402,2016-10-01,1
100402,2017-11-01,8
100402,2017-12-01,6
100402,2017-10-01,5
100402,2017-02-01,1
100402,2017-08-01,1
100402,2017-03-01,1
100402,2017-06-01,2
100402,2017-07-01,1
100402,2017-09-01,2
100402,2018-02-01,2
100402,2018-01-01,1
100402,2018-03-01,3
100402,2018-05-01,1
100402,2018-04-01,2
100403,2014-10-01,1
100403,2014-02-01,1
100403,2014-04-01,1
